sign	obj_n	bmi_n	len_pur_n	add1	gender	pur1	loss4	loss7	PG01
P	0.120000 	0.750000 	0.183673 	0	1	0	0	1	1
P	0.120000 	0.291667 	0.551020 	0	1	0	0	1	1
P	0.060000 	0.250000 	0.112245 	0	1	0	0	0	1
P	0.080000 	0.416667 	0.724490 	1	1	0	0	1	1
P	0.080000 	0.333333 	0.204082 	0	1	0	0	0	1
P	0.100000 	0.416667 	0.602041 	0	1	0	0	0	1
P	0.100000 	0.125000 	0.275510 	0	1	0	1	1	0
P	0.100000 	0.208333 	0.479592 	1	0	0	0	0	0
P	0.240000 	0.416667 	0.683673 	1	1	0	0	0	0
P	0.300000 	0.458333 	0.265306 	0	1	0	0	0	0
P	0.100000 	0.208333 	0.193878 	0	1	0	1	1	0
P	0.200000 	0.375000 	0.663265 	0	1	1	1	0	0
P	0.080000 	0.291667 	0.887755 	0	1	0	1	1	0
P	0.220000 	0.250000 	0.040816 	0	1	0	0	0	0
P	0.120000 	0.291667 	0.214286 	0	1	0	0	1	0
P	0.080000 	0.291667 	0.397959 	0	1	0	1	1	0
P	0.160000 	0.291667 	0.887755 	0	1	0	0	1	0
P	0.080000 	0.291667 	0.326531 	0	1	0	1	1	0
P	0.100000 	0.416667 	0.275510 	0	1	0	0	1	0
P	0.040000 	0.125000 	0.204082 	0	1	0	1	1	0
P	0.180000 	0.375000 	0.346939 	0	1	0	1	1	0
P	0.200000 	0.291667 	0.357143 	0	1	0	0	1	0
P	0.000000 	0.250000 	0.765306 	0	1	0	0	0	0
P	0.120000 	0.375000 	0.857143 	0	1	0	1	1	0
P	0.000000 	0.166667 	0.091837 	1	1	0	0	1	0
P	0.000000 	0.291667 	0.244898 	1	0	0	0	0	0
P	0.000000 	0.250000 	0.244898 	0	0	0	1	0	0
